review_id,source,entity,rating,rating_scale,title,review_text,review_date,language,reviewer_name,owner_reply,source_url
GAME-001,steam,Skybound Frontier,5,5,PC feedback 001,"In Skybound Frontier on PC, the combat finally clicked because parry timing is consistent and enemy wind-ups are readable. The boss rematch felt earned rather than lucky. This occurred after the June balance update on 2026-01-02.",2026-01-02T12:00:00.000Z,en,Player 001,Thanks for the detailed report. The team has linked this case to the relevant investigation.,https://feedback.northstarforge.example/reviews/GAME-001
GAME-002,playstation_store,Iron Harbor,2,5,PlayStation 5 feedback 002,"In Iron Harbor on PlayStation 5, matchmaking repeatedly placed our new squad against coordinated high-rank teams. Two friends stopped queuing after three one-sided matches. This occurred after the June balance update on 2026-02-09.",2026-02-09T12:00:00.000Z,en,Player 002,,https://feedback.northstarforge.example/reviews/GAME-002
GAME-003,xbox_store,Verdant Protocol,1,5,Xbox Series X feedback 003,"In Verdant Protocol on Xbox Series X, the game crashed during autosave after the chapter boss and corrupted the newest save slot. I lost nearly two hours of progress. This occurred after the June balance update on 2026-03-16.",2026-03-16T12:00:00.000Z,en,Player 003,,https://feedback.northstarforge.example/reviews/GAME-003
GAME-004,discord,Echoes of Aster,4,5,Nintendo Switch feedback 004,"In Echoes of Aster on Nintendo Switch, the accessibility menu lets me resize subtitles, reduce flashes, and remap every action. I could play comfortably without asking someone else to change files. This occurred after the June balance update on 2026-04-23.",2026-04-23T12:00:00.000Z,en,Player 004,,https://feedback.northstarforge.example/reviews/GAME-004
GAME-005,support_survey,Skybound Frontier,2,5,PC feedback 005,"In Skybound Frontier on PC, controller input starts lagging whenever the frame rate drops in the city hub. Dodges feel unresponsive during the busiest fights. This occurred during a four-player evening session on 2026-05-04.",2026-05-04T12:00:00.000Z,en,Player 005,,https://feedback.northstarforge.example/reviews/GAME-005
GAME-006,steam,Iron Harbor,5,5,PlayStation 5 feedback 006,"In Iron Harbor on PlayStation 5, the companion dialogue reacts to earlier choices instead of repeating generic lines. The crew feels unusually believable. This occurred during a four-player evening session on 2026-06-11.",2026-06-11T12:00:00.000Z,en,Player 006,,https://feedback.northstarforge.example/reviews/GAME-006
GAME-007,playstation_store,Verdant Protocol,3,5,Xbox Series X feedback 007,"In Verdant Protocol on Xbox Series X, the crafting screen hides required materials behind several nested tabs. I spend more time searching menus than planning upgrades. This occurred during a four-player evening session on 2026-01-18.",2026-01-18T12:00:00.000Z,en,Player 007,,https://feedback.northstarforge.example/reviews/GAME-007
GAME-008,xbox_store,Echoes of Aster,5,5,Nintendo Switch feedback 008,"In Echoes of Aster on Nintendo Switch, die Steuerung reagiert präzise, weil Ausweichfenster und Treffer klar lesbar sind. Der höhere Schwierigkeitsgrad fühlt sich fair an. This occurred during a four-player evening session on 2026-02-25.",2026-02-25T12:00:00.000Z,de,Player 008,,https://feedback.northstarforge.example/reviews/GAME-008
GAME-009,discord,Skybound Frontier,5,5,PC feedback 009,"In Skybound Frontier on PC, los subtítulos son grandes, claros y muestran quién está hablando. Pude seguir la historia sin perder información. This occurred while returning after three months away on 2026-03-06.",2026-03-06T12:00:00.000Z,es,Player 009,,https://feedback.northstarforge.example/reviews/GAME-009
GAME-010,support_survey,Iron Harbor,5,5,PlayStation 5 feedback 010,"In Iron Harbor on PlayStation 5, les objectifs restent lisibles même pendant les combats chargés. Je comprends toujours la prochaine décision importante. This occurred while returning after three months away on 2026-04-13.",2026-04-13T12:00:00.000Z,fr,Player 010,Thanks for the detailed report. The team has linked this case to the relevant investigation.,https://feedback.northstarforge.example/reviews/GAME-010
GAME-011,steam,Verdant Protocol,5,5,Xbox Series X feedback 011,"In Verdant Protocol on Xbox Series X, weapon audio changes clearly by distance and surface material. Finding enemies by sound feels precise and fair. This occurred while returning after three months away on 2026-05-20.",2026-05-20T12:00:00.000Z,en,Player 011,,https://feedback.northstarforge.example/reviews/GAME-011
GAME-012,playstation_store,Echoes of Aster,2,5,Nintendo Switch feedback 012,"In Echoes of Aster on Nintendo Switch, text chat moderation misses repeated slurs even after several reports. Our group now avoids public lobbies. This occurred while returning after three months away on 2026-06-27.",2026-06-27T12:00:00.000Z,en,Player 012,,https://feedback.northstarforge.example/reviews/GAME-012
GAME-013,xbox_store,Skybound Frontier,4,5,PC feedback 013,"In Skybound Frontier on PC, the latest patch reduced loading times from almost a minute to about fifteen seconds. Restarting missions is much less frustrating. This occurred on a fresh account with no prior unlocks on 2026-01-08.",2026-01-08T12:00:00.000Z,en,Player 013,,https://feedback.northstarforge.example/reviews/GAME-013
GAME-014,discord,Iron Harbor,3,5,PlayStation 5 feedback 014,"In Iron Harbor on PlayStation 5, the map icons use very similar colors for quests and vendors. I keep walking to the wrong marker. This occurred on a fresh account with no prior unlocks on 2026-02-15.",2026-02-15T12:00:00.000Z,en,Player 014,,https://feedback.northstarforge.example/reviews/GAME-014
